Name,Email,Phone No.,Qualifications,Current Workplace,Job Title,Achievement/Research,
Arjun Gupta,arjun.gupta@example.com,5544332211,B.Tech Civil Engg.,CBRE India,Construction Manager,Managed the construction of a new commercial complex project,
Kriti Patel,kriti.patel@example.com,4433221100,B.Tech Printing Tech.,PaperCraft Innovations,Print Quality Analyst,Implemented a new color calibration system for accurate printing,
Kabir Sharma,kabir.sharma@example.com,3322110099,B.Tech Computer Science,Dell Technologies,Software Engineer,Developed a new data storage system for cloud computing,
Saanvi Singh,saanvi.singh@example.com,2211009988,B.Tech Electrical Engg.,PowerGrid Corporation,Electrical Engineer,Managed the installation of new power transmission lines ensuring grid stability,
Aarav Gupta,aarav.gupta@example.com,1100998877,B.Tech Civil Engg.,Shapoorji Pallonji,Construction Engineer,Led the construction of a new hospital building project,
Ishaan Verma,ishaan.verma@example.com,9988776655,B.Tech Printing Tech.,Inkdraft Solutions,Printing Specialist,Developed a new digital printing process reducing turnaround time,
Anushka Patel,anushka.patel@example.com,8877665544,B.Tech Computer Science,IBM Research,Research Scientist,Investigated quantum computing applications for cryptography,
Vihaan Sharma,vihaan.sharma@example.com,7766554433,B.Tech Electrical Engg.,Schneider Electric,Automation Engineer,Designed an automated control system for industrial robots,
Suhana Singh,suhana.singh@example.com,6655443322,B.Tech Civil Engg.,GMR Infrastructure,Structural Engineer,Designed the structural framework for a new airport terminal,
Dev Patel,dev.patel@example.com,5544332211,B.Tech Printing Tech.,PrintWorks Pvt. Ltd.,Print Quality Analyst,Implemented a new quality control system reducing print defects,
Myra Reddy,myra.reddy@example.com,4433221100,B.Tech Computer Science,Amazon Web Services,Cloud Solutions Architect,Architected a secure cloud infrastructure for sensitive data storage,
Advait Verma,advait.verma@example.com,3322110099,B.Tech Electrical Engg.,Indian Space Research Org.,Electrical Engineer,Designed and tested electrical systems for satellite launches,
Aaradhya Singh,aaradhya.singh@example.com,2211009988,B.Tech Civil Engg.,Larsen & Toubro ECC,Project Manager,Managed the construction of a new metro rail line project,
Kriti Sharma,kriti.sharma@example.com,1100998877,B.Tech Printing Tech.,ColorSplash Printers,Ink Chemist,Developed a new eco-friendly ink reducing environmental impact,
Reyansh Gupta,reyansh.gupta@example.com,9988776655,B.Tech Computer Science,Flipkart,Software Development Engineer,Developed a new recommendation engine for personalized shopping experience,
Ishani Patel,ishani.patel@example.com,8877665544,B.Tech Electrical Engg.,ONGC,Electrical Design Engineer,Designed electrical systems for offshore oil rigs ensuring safety and reliability,
Aryan Verma,aryan.verma@example.com,7766554433,B.Tech Civil Engg.,Reliance Infrastructure,Structural Engineer,Designed the structural framework for a new bridge project,
Anvi Singh,anvi.singh@example.com,6655443322,B.Tech Printing Tech.,PrintPerfection Pvt. Ltd.,Printing Operations Manager,Implemented a new digital printing process for high-volume printing,
Vihaan Reddy,vihaan.reddy@example.com,5544332211,B.Tech Computer Science,Dell Technologies,Cybersecurity Analyst,Implemented advanced threat detection systems for network security,
Siya Sharma,siya.sharma@example.com,4433221100,B.Tech Electrical Engg.,BSNL,Telecommunications Engineer,Managed the installation of a new telecommunications network ensuring high-speed connectivity,
Krish Patel,krish.patel@example.com,3322110099,B.Tech Civil Engg.,CBRE India,Project Manager,Oversaw the construction of a new commercial office building,
Saanvi Gupta,saanvi.gupta@example.com,2211009988,B.Tech Printing Tech.,PrintPro Innovations,Print Quality Analyst,Developed a new inkjet printing technology for vibrant color prints,
Arjun Singh,arjun.singh@example.com,1100998877,B.Tech Computer Science,Infosys,Software Engineer,Developed a new data visualization tool for business analytics,
Myra Verma,myra.verma@example.com,9988776655,B.Tech Electrical Engg.,ABB,Electrical Design Engineer,Designed electrical systems for a new factory reducing energy consumption,
Ayaan Sharma,ayaan.sharma@example.com,8877665544,B.Tech Civil Engg.,Shapoorji Pallonji,Construction Engineer,Managed the construction of a new residential complex project,
Aarav Sharma,aarav.sharma@example.com,9876543210,B.Tech Computer Science,Google,Software Engineer,Developed an automated testing framework for scalable applications,
Diya Singh,diya.singh@example.com,8765432109,B.Tech Computer Science,Microsoft,Data Scientist,Published a paper on anomaly detection in large-scale datasets,
Krish Patel,krish.patel@example.com,7654321098,B.Tech Computer Science,Amazon,Software Developer,Led the development of a customer-centric e-commerce platform,
Maya Reddy,maya.reddy@example.com,6543210987,B.Tech Computer Science,Facebook,UX/UI Designer,Redesigned the user interface resulting in a 20% increase in user engagement,
Anaya Kumar,anaya.kumar@example.com,5432109876,B.Tech Computer Science,Uber,Data Analyst,Analyzed market trends leading to a 15% increase in sales,
Arjun Verma,arjun.verma@example.com,4321098765,B.Tech Computer Science,IBM,Cloud Solutions Architect,Implemented a cloud migration strategy for enterprise clients,
Ishaan Gupta,ishaan.gupta@example.com,3210987654,B.Tech Computer Science,TCS,Software Engineer,Developed a chatbot solution improving customer service efficiency,
Riya Sharma,riya.sharma@example.com,2109876543,B.Tech Computer Science,Apple,iOS Developer,Created a top-rated mobile app for productivity,
Rohan Patel,rohan.patel@example.com,1098765432,B.Tech Computer Science,Nvidia,Research Scientist,Contributed to the development of GPU architecture for deep learning,
Sanvi Singh,sanvi.singh@example.com,9988776655,B.Tech Computer Science,Accenture,Data Analyst,Analyzed market trends leading to a 15% increase in sales,
Advik Kumar,advik.kumar@example.com,8877665544,B.Tech Computer Science,Intel,Software Development Engineer,Collaborated on optimizing compiler for new processor design,
Aisha Reddy,aisha.reddy@example.com,7766554433,B.Tech Computer Science,Cisco,Network Engineer,Implemented a secure network architecture for a multinational corporation,
Eshaan Sharma,eshaan.sharma@example.com,6655443322,B.Tech Computer Science,Uber,Software Engineer,Designed a scalable backend system for real-time ride sharing,
Saanvi Gupta,saanvi.gupta@example.com,5544332211,B.Tech Computer Science,Twitter,Security Analyst,Identified and resolved critical security vulnerabilities in social media platform,
Arnav Singh,arnav.singh@example.com,4433221100,B.Tech Computer Science,Oracle,AI Engineer,Developed a recommendation system for personalized user experience,
Ishika Patel,ishika.patel@example.com,3322110099,B.Tech Computer Science,SpaceX,Software Developer,Contributed to the development of software for next-gen space missions,
Vihaan Verma,vihaan.verma@example.com,2211009988,B.Tech Computer Science,Netflix,Data Scientist,Implemented machine learning algorithms for content recommendation,
Aditi Sharma,aditi.sharma@example.com,1100998877,B.Tech Computer Science,LinkedIn,Product Manager,Launched a new feature enhancing professional networking on the platform,
Kabir Reddy,kabir.reddy@example.com,9988776655,B.Tech Computer Science,Dell,DevOps Engineer,Automated deployment pipelines resulting in a 40% reduction in deployment time,
Myra Singh,myra.singh@example.com,8877665544,B.Tech Computer Science,Adobe,UI/UX Designer,Redesigned the user interface for a flagship product increasing user satisfaction,
Arush Patel,arush.patel@example.com,7766554433,B.Tech Computer Science,SAP,Software Engineer,Implemented SAP solutions for enterprise resource planning,
Ira Reddy,ira.reddy@example.com,6655443322,B.Tech Computer Science,IBM Watson,AI Research Scientist,Researched and developed a speech recognition system for medical applications,
Aaradhya Sharma,aaradhya.sharma@example.com,5544332211,B.Tech Computer Science,Twitter,Software Engineer,Improved platform security through code reviews and vulnerability assessments,
Sia Verma,sia.verma@example.com,4433221100,B.Tech Computer Science,Uber,Data Analyst,Analyzed rider behavior leading to targeted marketing strategies for user retention,
Vivaan Gupta,vivaan.gupta@example.com,3322110099,B.Tech Computer Science,Amazon Web Services,Solutions Architect,Architected cloud solutions for scalability and cost-efficiency,
Kavya Singh,kavya.singh@example.com,2211009988,B.Tech Computer Science,Facebook,Product Manager,Launched a new advertising platform resulting in a 25% increase in ad revenue,
Reyaan Patel,reyaan.patel@example.com,1100998877,B.Tech Computer Science,Google,Software Engineer,Developed backend systems for a large-scale search engine improving search accuracy,
Aadya Sharma,aadya.sharma@example.com,9988776655,B.Tech Computer Science,Microsoft,Cloud Solutions Architect,Architected cloud infrastructure for AI applications improving efficiency,
Yashvi Reddy,yashvi.reddy@example.com,8877665544,B.Tech Computer Science,Apple,iOS Developer,Created a featured app on the App Store receiving over 1 million downloads,
Vihaan Kumar,vihaan.kumar@example.com,7766554433,B.Tech Computer Science,Intel,Software Development Engineer,Developed software for autonomous vehicle navigation system,
Avni Singh,avni.singh@example.com,6655443322,B.Tech Computer Science,Salesforce,Salesforce Developer,Customized CRM solutions for enterprise clients improving customer relationship management,
Rehan Verma,rehan.verma@example.com,5544332211,B.Tech Computer Science,Uber,Data Scientist,Analyzed rider data leading to optimized driver allocation improving service efficiency,
Keya Patel,keya.patel@example.com,4433221100,B.Tech Computer Science,Spotify,Software Engineer,Implemented music recommendation algorithms increasing user engagement,
Kiara Gupta,kiara.gupta@example.com,3322110099,B.Tech Computer Science,Airbnb,Machine Learning Engineer,Developed pricing optimization model resulting in a 30% increase in revenue,
Aarush Singh,aarush.singh@example.com,2211009988,B.Tech Computer Science,Twitter,Software Engineer,Collaborated on redesigning backend systems for improved performance,
Anika Sharma,anika.sharma@example.com,1100998877,B.Tech Computer Science,Oracle,Database Administrator,Managed database systems for enterprise clients ensuring data integrity and security,
Aryan Reddy,aryan.reddy@example.com,9988776655,B.Tech Computer Science,Cisco Systems,Network Security Engineer,Implemented network security protocols for global data centers,
Aanya Verma,aanya.verma@example.com,8877665544,B.Tech Computer Science,Intel,AI Engineer,Developed AI algorithms optimizing processor performance for machine learning tasks,
Yuvan Patel,yuvan.patel@example.com,7766554433,B.Tech Computer Science,IBM Research,Research Scientist,Investigated quantum computing algorithms for cryptographic applications,
Saisha Singh,saisha.singh@example.com,6655443322,B.Tech Computer Science,Facebook,Product Manager,Launched a new feature resulting in a 40% increase in user engagement,
Advait Kumar,advait.kumar@example.com,5544332211,B.Tech Computer Science,Amazon Web Services,Cloud Solutions Architect,Architected cloud infrastructure for a global video streaming service ensuring scalability and reliability,
Kaira Reddy,kaira.reddy@example.com,4433221100,B.Tech Computer Science,Google,Software Engineer,Improved search algorithms for a more personalized search experience,
Kabir Sharma,kabir.sharma@example.com,3322110099,B.Tech Computer Science,Uber,Software Development Engineer,Developed real-time tracking system for ride-sharing improving user safety,
Zara Gupta,zara.gupta@example.com,2211009988,B.Tech Computer Science,Microsoft,Data Scientist,Led a team in developing predictive analytics models for business insights,
Arjun Singh,arjun.singh@example.com,1100998877,B.Tech Computer Science,Salesforce,Salesforce Developer,Customized CRM solutions for sales teams improving efficiency and lead management,
Kiyan Patel,kiyan.patel@example.com,9988776655,B.Tech Computer Science,LinkedIn,Software Engineer,Developed algorithms for improving search accuracy in professional networking,
Anvi Sharma,anvi.sharma@example.com,8877665544,B.Tech Computer Science,Twitter,Security Analyst,Implemented security measures resulting in a 50% reduction in security breaches,
Myra Singh,myra.singh@example.com,7766554433,B.Tech Computer Science,Google,Machine Learning Engineer,Developed models for natural language processing improving search functionality,
Rehan Verma,rehan.verma@example.com,6655443322,B.Tech Computer Science,Facebook,Product Manager,Launched a new feature resulting in a 30% increase in user engagement,
Keya Patel,keya.patel@example.com,5544332211,B.Tech Computer Science,Amazon,Software Engineer,Implemented backend systems for e-commerce platform improving scalability and performance,
Kiara Gupta,kiara.gupta@example.com,4433221100,B.Tech Computer Science,Microsoft,Data Analyst,Analyzed user data leading to targeted marketing strategies for improved customer engagement,
Aarush Singh,aarush.singh@example.com,3322110099,B.Tech Computer Science,Uber,Software Engineer,Developed backend systems for real-time ride sharing improving user experience,
Anika Sharma,anika.sharma@example.com,2211009988,B.Tech Computer Science,Apple,iOS Developer,Created a top-rated mobile app with over 1 million downloads,
Aryan Reddy,aryan.reddy@example.com,1100998877,B.Tech Computer Science,Twitter,Software Developer,Led the development of a social media analytics platform improving insights for businesses,
Aanya Verma,aanya.verma@example.com,9988776655,B.Tech Computer Science,IBM,AI Engineer,Researched and developed machine learning models for medical diagnostics,
Yuvan Patel,yuvan.patel@example.com,8877665544,B.Tech Computer Science,Google,Software Engineer,Improved search algorithms for a more accurate and personalized search experience,
Saisha Singh,saisha.singh@example.com,7766554433,B.Tech Computer Science,Facebook,UX/UI Designer,Designed an intuitive user interface resulting in a 25% increase in user engagement,
Advait Kumar,advait.kumar@example.com,6655443322,B.Tech Computer Science,Amazon Web Services,Cloud Solutions Architect,Architected cloud infrastructure for an e-commerce platform ensuring scalability and reliability,
Kaira Reddy,kaira.reddy@example.com,5544332211,B.Tech Computer Science,Microsoft,Software Engineer,Implemented new features for productivity software enhancing user experience,
Kabir Sharma,kabir.sharma@example.com,4433221100,B.Tech Computer Science,Uber,Data Scientist,Analyzed user data for actionable insights resulting in targeted marketing strategies,
Zara Gupta,zara.gupta@example.com,3322110099,B.Tech Computer Science,Twitter,Security Analyst,Implemented security measures resulting in a 40% reduction in security vulnerabilities,
Arjun Singh,arjun.singh@example.com,2211009988,B.Tech Computer Science,Amazon,Software Engineer,Implemented backend systems for e-commerce platform improving scalability and performance,
Kiyan Patel,kiyan.patel@example.com,1100998877,B.Tech Computer Science,Google,Data Analyst,Analyzed user behavior leading to targeted marketing strategies for improved user engagement,
Anvi Sharma,anvi.sharma@example.com,9988776655,B.Tech Computer Science,Microsoft,AI Engineer,Developed AI algorithms for automated decision-making processes,
Myra Singh,myra.singh@example.com,8877665544,B.Tech Computer Science,Facebook,Product Manager,Launched a new feature resulting in a 40% increase in user engagement,
Rehan Verma,rehan.verma@example.com,7766554433,B.Tech Computer Science,Apple,iOS Developer,Developed a mobile app with innovative features reaching the top charts,
Keya Patel,keya.patel@example.com,6655443322,B.Tech Computer Science,Netflix,Software Engineer,Implemented backend systems for a video streaming platform improving performance and user experience,
Kiara Gupta,kiara.gupta@example.com,5544332211,B.Tech Computer Science,Uber,Software Engineer,Developed features for a ride-sharing app enhancing user convenience,
Aarush Singh,aarush.singh@example.com,4433221100,B.Tech Computer Science,Twitter,Data Analyst,Analyzed social media trends leading to targeted marketing strategies for brands,
Anika Sharma,anika.sharma@example.com,3322110099,B.Tech Computer Science,Google,AI Engineer,Developed machine learning algorithms for automated image recognition,
Aryan Reddy,aryan.reddy@example.com,2211009988,B.Tech Computer Science,Amazon Web Services,Cloud Solutions Architect,Architected cloud infrastructure for a data analytics platform ensuring scalability and efficiency,
Aanya Verma,aanya.verma@example.com,1100998877,B.Tech Computer Science,Facebook,Product Manager,Launched a new feature resulting in a 30% increase in user engagement,
Yuvan Patel,yuvan.patel@example.com,9988776655,B.Tech Computer Science,Twitter,Software Engineer,Developed backend systems for a social media platform improving performance,
Saisha Singh,saisha.singh@example.com,8877665544,B.Tech Computer Science,Microsoft,Data Scientist,Analyzed user data for insights driving product improvements and customer engagement,
Advait Kumar,advait.kumar@example.com,7766554433,B.Tech Computer Science,Google,Machine Learning Engineer,Implemented algorithms for improving search relevance and user experience,
Kaira Reddy,kaira.reddy@example.com,6655443322,B.Tech Computer Science,Amazon,Software Developer,Developed software solutions for cloud-based applications improving scalability,
Kabir Sharma,kabir.sharma@example.com,5544332211,B.Tech Computer Science,Netflix,UI/UX Designer,Designed an intuitive user interface resulting in a 25% increase in user engagement,
Zara Gupta,zara.gupta@example.com,4433221100,B.Tech Computer Science,Uber,Software Engineer,Developed features for a ride-sharing app improving user experience,
Arjun Singh,arjun.singh@example.com,3322110099,B.Tech Computer Science,Airbnb,Product Manager,Launched a new feature resulting in a 40% increase in user engagement,
Kiyan Patel,kiyan.patel@example.com,2211009988,B.Tech Computer Science,Twitter,Software Engineer,Implemented backend systems for a social media platform improving performance and reliability,
Anvi Sharma,anvi.sharma@example.com,1100998877,B.Tech Computer Science,Microsoft,Data Analyst,Analyzed user data leading to targeted marketing strategies for improved customer engagement,
Myra Singh,myra.singh@example.com,9988776655,B.Tech Computer Science,Facebook,UX/UI Designer,Designed an intuitive user interface resulting in a 20% increase in user engagement,
Rehan Verma,rehan.verma@example.com,8877665544,B.Tech Computer Science,Google,Software Engineer,Developed backend systems for a large-scale search engine improving search accuracy,
Keya Patel,keya.patel@example.com,7766554433,B.Tech Computer Science,Apple,iOS Developer,Created a top-rated mobile app for productivity,
Kiara Gupta,kiara.gupta@example.com,6655443322,B.Tech Computer Science,Amazon Web Services,Cloud Solutions Architect,Architected cloud infrastructure for scalable and secure applications,
Aarush Singh,aarush.singh@example.com,5544332211,B.Tech Computer Science,Twitter,Security Analyst,Implemented security measures resulting in a 30% reduction in security breaches,
Anika Sharma,anika.sharma@example.com,4433221100,B.Tech Computer Science,Uber,Data Scientist,Analyzed user data for actionable insights improving business strategies,
Aryan Reddy,aryan.reddy@example.com,3322110099,B.Tech Computer Science,Microsoft,AI Engineer,Developed AI algorithms for automated decision-making processes,
Aanya Verma,aanya.verma@example.com,2211009988,B.Tech Computer Science,Google,Software Engineer,Improved search algorithms for a more accurate and relevant search experience,
Yuvan Patel,yuvan.patel@example.com,1100998877,B.Tech Computer Science,Facebook,Product Manager,Launched a new feature resulting in a 25% increase in user engagement,
Saisha Singh,saisha.singh@example.com,9988776655,B.Tech Computer Science,Amazon Web Services,Software Engineer,Developed features for a cloud-based platform improving user experience and scalability,
Advait Kumar,advait.kumar@example.com,8877665544,B.Tech Computer Science,Netflix,Data Analyst,Analyzed user data leading to targeted marketing strategies for improved customer engagement,
Kaira Reddy,kaira.reddy@example.com,7766554433,B.Tech Computer Science,Twitter,Software Engineer,Developed backend systems for a social media platform improving performance,
Kabir Sharma,kabir.sharma@example.com,6655443322,B.Tech Computer Science,Google,AI Engineer,Researched and developed machine learning models for image recognition,
Zara Gupta,zara.gupta@example.com,5544332211,B.Tech Computer Science,Microsoft,Cloud Solutions Architect,Architected cloud infrastructure for enterprise applications ensuring reliability and scalability,
Arjun Singh,arjun.singh@example.com,4433221100,B.Tech Computer Science,Facebook,Product Manager,Launched a new advertising platform resulting in a 30% increase in ad revenue,
Kiyan Patel,kiyan.patel@example.com,3322110099,B.Tech Computer Science,Uber,Software Engineer,Developed features for a ride-sharing app improving user experience,
Anvi Sharma,anvi.sharma@example.com,2211009988,B.Tech Computer Science,Amazon Web Services,Software Developer,Implemented software solutions for cloud-based applications improving scalability and performance,
Myra Singh,myra.singh@example.com,1100998877,B.Tech Computer Science,Google,UX/UI Designer,Redesigned the user interface for a flagship product increasing user satisfaction,
Rehan Verma,rehan.verma@example.com,9988776655,B.Tech Computer Science,Microsoft,Data Scientist,Analyzed customer behavior leading to targeted marketing strategies for business growth,
Keya Patel,keya.patel@example.com,8877665544,B.Tech Computer Science,Facebook,Product Manager,Launched a new feature resulting in a 40% increase in user engagement,
Kiara Gupta,kiara.gupta@example.com,7766554433,B.Tech Computer Science,Google,Software Engineer,Developed algorithms for a more accurate and personalized search experience,
Aarush Singh,aarush.singh@example.com,6655443322,B.Tech Computer Science,Twitter,Security Analyst,Implemented security measures resulting in a 50% reduction in security vulnerabilities,
Anika Sharma,anika.sharma@example.com,5544332211,B.Tech Computer Science,Amazon,AI Engineer,Developed AI algorithms for automated decision-making processes,
Aryan Reddy,aryan.reddy@example.com,4433221100,B.Tech Computer Science,Uber,Data Analyst,Analyzed user data for insights improving business strategies,
Aanya Verma,aanya.verma@example.com,3322110099,B.Tech Computer Science,Microsoft,Software Engineer,Improved search algorithms for a more relevant and user-friendly search experience,
Yuvan Patel,yuvan.patel@example.com,2211009988,B.Tech Computer Science,Facebook,Product Manager,Launched a new feature resulting in a 25% increase in user engagement,
Saisha Singh,saisha.singh@example.com,1100998877,B.Tech Computer Science,Google,Software Engineer,Developed backend systems for a large-scale search engine improving search accuracy,
Advait Kumar,advait.kumar@example.com,9988776655,B.Tech Computer Science,Amazon Web Services,Cloud Solutions Architect,Architected cloud infrastructure for an e-commerce platform ensuring scalability and reliability,
Kaira Reddy,kaira.reddy@example.com,8877665544,B.Tech Computer Science,Microsoft,Software Engineer,Implemented new features for productivity software enhancing user experience,
Kabir Sharma,kabir.sharma@example.com,7766554433,B.Tech Computer Science,Uber,Data Scientist,Analyzed user data for actionable insights resulting in targeted marketing strategies,
Zara Gupta,zara.gupta@example.com,6655443322,B.Tech Computer Science,Twitter,Security Analyst,Implemented security measures resulting in a 40% reduction in security vulnerabilities,
Arjun Singh,arjun.singh@example.com,5544332211,B.Tech Computer Science,Amazon,Software Engineer,Implemented backend systems for e-commerce platform improving scalability and performance,
Kiyan Patel,kiyan.patel@example.com,4433221100,B.Tech Computer Science,Google,Data Analyst,Analyzed user behavior leading to targeted marketing strategies for improved user engagement,
Anvi Sharma,anvi.sharma@example.com,3322110099,B.Tech Computer Science,Microsoft,AI Engineer,Developed AI algorithms for automated decision-making processes,
Myra Singh,myra.singh@example.com,2211009988,B.Tech Computer Science,Facebook,Product Manager,Launched a new feature resulting in a 40% increase in user engagement,
Rehan Verma,rehan.verma@example.com,1100998877,B.Tech Computer Science,Apple,iOS Developer,Developed a mobile app with innovative features reaching the top charts,
Keya Patel,keya.patel@example.com,9988776655,B.Tech Computer Science,Netflix,Software Engineer,Implemented backend systems for a video streaming platform improving performance and user experience,
Kiara Gupta,kiara.gupta@example.com,8877665544,B.Tech Computer Science,Uber,Software Engineer,Developed features for a ride-sharing app enhancing user convenience,
Aarush Singh,aarush.singh@example.com,7766554433,B.Tech Computer Science,Twitter,Data Analyst,Analyzed social media trends leading to targeted marketing strategies for brands,
Anika Sharma,anika.sharma@example.com,6655443322,B.Tech Computer Science,Google,AI Engineer,Developed machine learning algorithms for automated image recognition,
Aryan Reddy,aryan.reddy@example.com,5544332211,B.Tech Computer Science,Amazon Web Services,Cloud Solutions Architect,Architected cloud infrastructure for a data analytics platform ensuring scalability and efficiency,
Aanya Verma,aanya.verma@example.com,4433221100,B.Tech Computer Science,Facebook,Product Manager,Launched a new feature resulting in a 30% increase in user engagement,
Yuvan Patel,yuvan.patel@example.com,3322110099,B.Tech Computer Science,Twitter,Software Engineer,Developed backend systems for a social media platform improving performance,
Aditya Patel,aditya.patel@example.com,987-654-3210,B.Tech Computer Science,TechSolutions Pvt. Ltd.,Software Engineer,Developed an innovative AI algorithm for fraud detection.,
Priya Sharma,priya.sharma@example.com,876-543-2109,B.Tech Electrical Engineering,"Ministry of Power, Govt.",Electrical Engineer,Published paper on renewable energy integration in urban settings.,
Rahul Desai,rahul.desai@example.com,765-432-1098,B.Tech Civil Engineering,BuildPro Constructions,Project Manager,Awarded for exceptional project completion in record time.,
Nisha Singh,nisha.singh@example.com,654-321-0987,B.Tech Printing and Packaging Technology,PackWise Innovations Pvt.,Packaging Engineer,Developed biodegradable packaging solution for food products.,
Akash Verma,akash.verma@example.com,543-210-9876,B.Tech Computer Science,Quantum Innovations,Data Analyst,Led team in creating a predictive analytics model for market trends.,
Pooja Reddy,pooja.reddy@example.com,432-109-8765,B.Tech Electrical Engineering,Infosys Ltd.,Systems Engineer,Implemented automation system resulting in 30% efficiency gain.,
Rajesh Kumar,rajesh.kumar@example.com,321-098-7654,B.Tech Civil Engineering,"Ministry of Transport, Govt.",Structural Engineer,Supervised construction of a key bridge project in record time.,
Maya Iyer,maya.iyer@example.com,210-987-6543,B.Tech Printing and Packaging Technology,PrintCraft Pvt. Ltd.,Quality Control Manager,Received Quality Excellence Award for innovative print packaging.,
Ankit Gupta,ankit.gupta@example.com,109-876-5432,B.Tech Computer Science,TechGenius Solutions,Software Developer,Co-authored a research paper on machine learning applications.,
